DSL Id,Current RCA Value,Primary IP,DSL ID:RCA:IP,HUB,Circle
01185233617_dsl,VTA-U-409600-1024-NA-1062-R,61.95.235.195,01185233617_dsl:VTA-U-409600-1024-NA-1062-R:61.95.235.195,North,Delhi
01145506123_dsl,VTA-U-409600-1024-NA-811-E,61.95.235.172,01145506123_dsl:VTA-U-409600-1024-NA-811-E:61.95.235.172,North,Delhi
01146068568_dsl,VTA-U-24576-1024-NA-1219-R,61.95.234.202,01146068568_dsl:VTA-U-24576-1024-NA-1219-R:61.95.234.202,North,Haryana
01194061263_dsl,VTA-U-409600-1024-NA-518-R,61.95.234.174,01194061263_dsl:VTA-U-409600-1024-NA-518-R:61.95.234.174,North,Delhi
01192494719_dsl,VTA-U-163841-1024-NA-730-E,61.95.234.163,01192494719_dsl:VTA-U-163841-1024-NA-730-E:61.95.234.163,North,Delhi
01193885628_dsl,VTA-U-20480-1024-NA-1028-E,61.95.220.80,01193885628_dsl:VTA-U-20480-1024-NA-1028-E:61.95.220.80,North,Delhi
01195078988_dsl,VTA-U-81922-1024-NA-946-E,61.95.220.168,01195078988_dsl:VTA-U-81922-1024-NA-946-E:61.95.220.168,North,Delhi
01181017018_dsl,VTA-U-409600-1024-NA-686-R,61.247.230.14,01181017018_dsl:VTA-U-409600-1024-NA-686-R:61.247.230.14,North,Delhi
01191905807_dsl,VTA-U-409600-1024-NA-876-R,61.247.228.55,01191905807_dsl:VTA-U-409600-1024-NA-876-R:61.247.228.55,North,Delhi
01142475526_dsl,VTA-U-163841-1024-NA-632-R,61.247.228.245,01142475526_dsl:VTA-U-163841-1024-NA-632-R:61.247.228.245,North,Delhi
01192500506_dsl,VTA-U-81922-1024-NA-1009-E,61.247.228.194,01192500506_dsl:VTA-U-81922-1024-NA-1009-E:61.247.228.194,North,Delhi
01192489572_dsl,VTA-U-163841-1024-NA-972-R,61.247.228.165,01192489572_dsl:VTA-U-163841-1024-NA-972-R:61.247.228.165,North,Delhi
01192491687_dsl,VTA-U-409600-1024-NA-348-R,61.247.228.159,01192491687_dsl:VTA-U-409600-1024-NA-348-R:61.247.228.159,North,Delhi
01174722701_dsl,VTA-U-163841-1024-NA-1050-E,61.246.6.99,01174722701_dsl:VTA-U-163841-1024-NA-1050-E:61.246.6.99,North,Delhi
01191455308_dsl,VTA-U-409600-1024-NA-910-E,61.246.6.76,01191455308_dsl:VTA-U-409600-1024-NA-910-E:61.246.6.76,North,Delhi
01145085803_dsl,VTA-U-163841-1024-NA-854-E,61.246.6.248,01145085803_dsl:VTA-U-163841-1024-NA-854-E:61.246.6.248,North,Delhi
01191931984_dsl,VTA-U-409600-1024-NA-341-R,61.246.6.210,01191931984_dsl:VTA-U-409600-1024-NA-341-R:61.246.6.210,North,Delhi
018037473456_dsl,VTA-U-163841-1024-NA-259-R,61.246.6.179,018037473456_dsl:VTA-U-163841-1024-NA-259-R:61.246.6.179,North,North - Haryana
01151424849_dsl,VTA-U-409600-1024-NA-982-R,61.246.5.189,01151424849_dsl:VTA-U-409600-1024-NA-982-R:61.246.5.189,North,Delhi
01172926069_dsl,VTA-U-409600-1024-NA-1231-R,61.246.5.140,01172926069_dsl:VTA-U-409600-1024-NA-1231-R:61.246.5.140,North,Delhi
01146526617_dsl,VTA-U-409600-1024-NA-506-R,61.246.47.251,01146526617_dsl:VTA-U-409600-1024-NA-506-R:61.246.47.251,North,Delhi
01191922735_dsl,VTA-U-409600-1024-NA-196-E,61.246.47.232,01191922735_dsl:VTA-U-409600-1024-NA-196-E:61.246.47.232,North,Delhi
01143515747_dsl,VTA-U-24576-1024-NA-1084-E,61.246.47.182,01143515747_dsl:VTA-U-24576-1024-NA-1084-E:61.246.47.182,North,Delhi
01147014141_dsl,VTA-U-409600-1024-NA-100-R,61.246.47.117,01147014141_dsl:VTA-U-409600-1024-NA-100-R:61.246.47.117,North,Delhi
01191892654_dsl,VTA-U-163841-1024-NA-657-R,61.246.36.86,01191892654_dsl:VTA-U-163841-1024-NA-657-R:61.246.36.86,North,Delhi
01191937709_dsl,VTA-U-409600-1024-NA-512-R,61.246.36.192,01191937709_dsl:VTA-U-409600-1024-NA-512-R:61.246.36.192,North,Delhi
01191445736_dsl,VTA-U-409600-1024-NA-1245-E,61.246.34.32,01191445736_dsl:VTA-U-409600-1024-NA-1245-E:61.246.34.32,North,Delhi
01191456355_dsl,VTA-U-409600-1024-NA-4333-R,61.246.34.135,01191456355_dsl:VTA-U-409600-1024-NA-4333-R:61.246.34.135,North,Delhi
012438136904_dsl,VTA-U-163841-1024-NA-457-E,61.246.32.231,012438136904_dsl:VTA-U-163841-1024-NA-457-E:61.246.32.231,North,Haryana
012038137047_dsl,VTA-U-409600-1024-NA-854-R,61.246.32.182,012038137047_dsl:VTA-U-409600-1024-NA-854-R:61.246.32.182,North,U.P West
07614031453_dsl,VTA-U-24576-1024-NA-1110-R,61.246.140.61,07614031453_dsl:VTA-U-24576-1024-NA-1110-R:61.246.140.61,West,MP
07314072607_dsl,VTA-U-20480-512-NA-1057-E,61.246.140.252,07314072607_dsl:VTA-U-20480-512-NA-1057-E:61.246.140.252,West,MP
07555290791,VTA-U-409600-1024-NA-1250-R,61.246.140.225,07555290791:VTA-U-409600-1024-NA-1250-R:61.246.140.225,West,MP
07314045650_mp,VTA-U-409600-1024-NA-601-R,61.246.140.216,07314045650_mp:VTA-U-409600-1024-NA-601-R:61.246.140.216,West,MP
07344011105_dsl,VTA-U-81922-1024-NA-495-E,61.246.140.212,07344011105_dsl:VTA-U-81922-1024-NA-495-E:61.246.140.212,West,MP
07480401598_mp,VTA-U-40960-1024-NA-540-R,61.246.140.14,07480401598_mp:VTA-U-40960-1024-NA-540-R:61.246.140.14,West,MP
076622404155_mp,VTA-U-81922-1024-NA-1075-E,61.246.139.84,076622404155_mp:VTA-U-81922-1024-NA-1075-E:61.246.139.84,West,MP
07314279528_mp,VTA-U-163841-1024-NA-829-E,61.246.139.82,07314279528_mp:VTA-U-163841-1024-NA-829-E:61.246.139.82,West,MP
07884010599_dsl,VTA-U-20480-1024-NA-417-E,61.246.139.211,07884010599_dsl:VTA-U-20480-1024-NA-417-E:61.246.139.211,West,MP
07314027663_dsl,VTA-U-163841-1024-NA-385-R,61.246.139.202,07314027663_dsl:VTA-U-163841-1024-NA-385-R:61.246.139.202,West,MP
07714266558_mp,VTA-U-20480-1024-NA-346-R,61.246.139.20,07714266558_mp:VTA-U-20480-1024-NA-346-R:61.246.139.20,West,MP
07884010525_mp,VTA-U-20480-1024-NA-310-E,61.246.139.109,07884010525_mp:VTA-U-20480-1024-NA-310-E:61.246.139.109,West,MP
01191361229_dsl,VTA-U-163841-1024-NA-998-E,59.144.174.58,01191361229_dsl:VTA-U-163841-1024-NA-998-E:59.144.174.58,North,Delhi
01191308973_dsl,VTA-U-163841-1024-NA-870-R,59.144.174.184,01191308973_dsl:VTA-U-163841-1024-NA-870-R:59.144.174.184,North,Delhi
01191364860_dsl,VTA-U-409600-1024-NA-892-R,59.144.174.156,01191364860_dsl:VTA-U-409600-1024-NA-892-R:59.144.174.156,North,Delhi
01188218708_dsl,,59.144.173.44,01188218708_dsl::59.144.173.44,North,Haryana
01142808002_dsl,VTA-U-409600-1024-NA-100-R,59.144.173.41,01142808002_dsl:VTA-U-409600-1024-NA-100-R:59.144.173.41,North,Delhi
01244210028_dsl,VTA-U-409600-1024-NA-396-R,59.144.171.96,01244210028_dsl:VTA-U-409600-1024-NA-396-R:59.144.171.96,North,Haryana
012414674470_dsl,VTA-U-409600-1024-NA-770-E,59.144.171.64,012414674470_dsl:VTA-U-409600-1024-NA-770-E:59.144.171.64,North,Haryana
01172821294_dsl,VTA-U-163841-1024-NA-977-R,59.144.171.55,01172821294_dsl:VTA-U-163841-1024-NA-977-R:59.144.171.55,North,Delhi
012436384492_dsl,VTA-U-163841-1024-NA-753-R,59.144.167.205,012436384492_dsl:VTA-U-163841-1024-NA-753-R:59.144.167.205,North,Haryana
01193414726_dsl,VTA-U-409600-1024-NA-931-R,59.144.165.55,01193414726_dsl:VTA-U-409600-1024-NA-931-R:59.144.165.55,North,Delhi
012038267907_dsl,VTA-U-409600-1024-NA-1139-E,59.144.163.179,012038267907_dsl:VTA-U-409600-1024-NA-1139-E:59.144.163.179,North,Delhi
01184705193_dsl,VTA-U-163841-1024-NA-1122-E,59.144.163.103,01184705193_dsl:VTA-U-163841-1024-NA-1122-E:59.144.163.103,North,Delhi
01147075781_dsl,VTA-U-24576-1024-NA-925-R,59.144.162.214,01147075781_dsl:VTA-U-24576-1024-NA-925-R:59.144.162.214,North,Haryana
01151002800_dsl,VTA-U-163841-1024-NA-277-R,59.144.162.178,01151002800_dsl:VTA-U-163841-1024-NA-277-R:59.144.162.178,North,Delhi
01151540564_dsl,VTA-U-409600-1024-NA-236-R,59.144.162.141,01151540564_dsl:VTA-U-409600-1024-NA-236-R:59.144.162.141,North,Delhi
01190843504_dsl,VTA-U-24576-1024-NA-1211-E,59.144.162.111,01190843504_dsl:VTA-U-24576-1024-NA-1211-E:59.144.162.111,North,Delhi
012941416214_dsl,VTA-U-409600-1024-NA-993-R,59.144.161.30,012941416214_dsl:VTA-U-409600-1024-NA-993-R:59.144.161.30,North,Haryana
01191367168_dsl,VTA-U-409600-1024-NA-591-R,59.144.161.184,01191367168_dsl:VTA-U-409600-1024-NA-591-R:59.144.161.184,North,Delhi
01178811297_dsl,VTA-U-409600-1024-NA-1496-R,59.144.161.165,01178811297_dsl:VTA-U-409600-1024-NA-1496-R:59.144.161.165,North,Haryana
01177729206_dsl,VTA-U-409600-1024-NA-1125-R,59.144.161.139,01177729206_dsl:VTA-U-409600-1024-NA-1125-R:59.144.161.139,North,Delhi
01192496301_dsl,VTA-U-409600-1024-NA-715-E,59.144.161.134,01192496301_dsl:VTA-U-409600-1024-NA-715-E:59.144.161.134,North,Delhi
01145091669_dsl,VTA-U-163841-1024-NA-365-E,59.144.160.12,01145091669_dsl:VTA-U-163841-1024-NA-365-E:59.144.160.12,North,Delhi
01191276377_dsl,VTA-U-81922-512-NA-50-R,203.145.171.19,01191276377_dsl:VTA-U-81922-512-NA-50-R:203.145.171.19,North,Delhi
01145563662_dsl,VTA-U-409600-1024-NA-330-R,203.145.171.12,01145563662_dsl:VTA-U-409600-1024-NA-330-R:203.145.171.12,North,Delhi
01244005728_dsl,VTA-U-409600-1024-NA-1529-R,203.145.168.245,01244005728_dsl:VTA-U-409600-1024-NA-1529-R:203.145.168.245,North,Haryana
GH818747-2_dsl,VTA-U-20480-1024-NA-1043-E,203.145.168.176,GH818747-2_dsl:VTA-U-20480-1024-NA-1043-E:203.145.168.176,North,Haryana
012914627303_dsl,VTA-U-1024000-1024-NA-3343-R,203.145.168.148,012914627303_dsl:VTA-U-1024000-1024-NA-3343-R:203.145.168.148,North,Haryana
01244103658_dsl,VTA-U-409600-1024-NA-1358-R,203.145.168.129,01244103658_dsl:VTA-U-409600-1024-NA-1358-R:203.145.168.129,North,Haryana
01146517079_dsl,VTA-U-1024000-1024-NA-468-R,203.145.165.234,01146517079_dsl:VTA-U-1024000-1024-NA-468-R:203.145.165.234,North,Delhi
07314042196_dsl,VTA-U-409600-1024-NA-1066-R,203.101.126.82,07314042196_dsl:VTA-U-409600-1024-NA-1066-R:203.101.126.82,West,MP
07714221561_mp,VTA-U-163841-1024-NA-554-E,203.101.126.80,07714221561_mp:VTA-U-163841-1024-NA-554-E:203.101.126.80,West,MP
07314068839_mp,VTA-U-409600-1024-NA-1500-R,203.101.126.196,07314068839_mp:VTA-U-409600-1024-NA-1500-R:203.101.126.196,West,MP
13022311,VTA-U-163841-1024-NA-495-R,203.101.126.157,13022311:VTA-U-163841-1024-NA-495-R:203.101.126.157,West,MP
01204136597_dsl,VTA-U-24576-1024-NA-1153-R,182.77.63.218,01204136597_dsl:VTA-U-24576-1024-NA-1153-R:182.77.63.218,North,U.P West
012421464542_dsl,VTA-U-409600-1024-NA-1074-R,182.77.62.192,012421464542_dsl:VTA-U-409600-1024-NA-1074-R:182.77.62.192,North,Haryana
01169729182_dsl,VTA-U-409600-1024-NA-741-R,182.77.61.74,01169729182_dsl:VTA-U-409600-1024-NA-741-R:182.77.61.74,North,Haryana
017218121367_dsl,VTA-U-409600-1024-NA-1315-R,182.77.60.76,017218121367_dsl:VTA-U-409600-1024-NA-1315-R:182.77.60.76,North,Punjab
012420620070_dsl,VTA-U-409600-1024-NA-600-R,182.77.58.8,012420620070_dsl:VTA-U-409600-1024-NA-600-R:182.77.58.8,North,Haryana
01246554217_dsl,VTA-U-40960-1024-NA-317-R,182.77.58.101,01246554217_dsl:VTA-U-40960-1024-NA-317-R:182.77.58.101,North,Haryana
01147041951_dsl,VTA-U-163841-1024-NA-942-R,182.77.57.77,01147041951_dsl:VTA-U-163841-1024-NA-942-R:182.77.57.77,North,Delhi
01184039572_dsl,VTA-U-409600-1024-NA-546-R,182.77.57.73,01184039572_dsl:VTA-U-409600-1024-NA-546-R:182.77.57.73,North,Delhi
01244064030_dsl,VTA-U-163841-1024-NA-802-E,182.77.57.249,01244064030_dsl:VTA-U-163841-1024-NA-802-E:182.77.57.249,North,Haryana
